uni_lemma,language
zipper,Cantonese
coat,Cantonese
sea,Cantonese
rope,Cantonese
motorcycle,Cantonese
giraffe,Cantonese
picture,Cantonese
road,Cantonese
panda,Cantonese
pear,Cantonese
crab,Cantonese
bucket,Cantonese
mango,Cantonese
piano,Cantonese
police car,Cantonese
pot,Cantonese
back (body part),Cantonese
story,Cantonese
bell,Cantonese
dinosaur,Cantonese
sand,Cantonese
crib,Cantonese
stone,Cantonese
hanger,Cantonese
brush (object),Cantonese
chips,Cantonese
necklace,Cantonese
cloud,Cantonese
bee,Cantonese
hamburger,Cantonese
teapot,Cantonese
sauce,Cantonese
bib,Cantonese
underpants,Cantonese
mountain,Cantonese
microphone,Cantonese
washing machine,Cantonese
truck,Cantonese
cook,Cantonese
thunder,Cantonese
sneaker,Cantonese
chin,Cantonese
pork,Cantonese
soap,Cantonese
living room,Cantonese
faucet,Cantonese
eyebrow,Cantonese
shoulder,Cantonese
drawer,Cantonese
bun,Cantonese
pool,Cantonese
firetruck,Cantonese
mop (object),Cantonese
ladder,Cantonese
fountain,Cantonese
ham,Cantonese
present,Cantonese
potty,Cantonese
cloth,Cantonese
animal,Cantonese
card,Cantonese
balloon,Cantonese
tram,Cantonese
zebra,Cantonese
penguin,Cantonese
belt,Cantonese
bridge,Cantonese
basket,Cantonese
knee,Cantonese
alligator,Cantonese
glove,Cantonese
helicopter,Cantonese
crayon,Cantonese
spaghetti,Cantonese
eraser,Cantonese
dolphin,Cantonese
tunnel,Cantonese
dumpling,Cantonese
beef,Cantonese
thumb,Cantonese
fly (animal),Cantonese
soy sauce,Cantonese
ruler,Cantonese
radio,Cantonese
palm,Cantonese
ambulance,Cantonese
vest,Cantonese
deer,Cantonese
owl,Cantonese
pencil,Cantonese
stove,Cantonese
mud,Cantonese
cheek,Cantonese
foot,Cantonese
kite,Cantonese
scarf,Cantonese
bathtub,Cantonese
snail,Cantonese
glue (object),Cantonese
pigeon,Cantonese
arm,Cantonese
flag,Cantonese
dragon,Cantonese
pajamas,Cantonese
goose,Cantonese
wolf,Cantonese
onion,Cantonese
ginger,Cantonese
jeans,Cantonese
tie (action),Cantonese
ceiling,Cantonese
dragonfly,Cantonese
shirt,Cantonese
water (beverage),Catalan
bread,Catalan
ball,Catalan
cookie,Catalan
nose,Catalan
shoe,Catalan
hand,Catalan
head,Catalan
car,Catalan
foot,Catalan
dog,Catalan
fish (animal),Catalan
bottle,Catalan
motorcycle,Catalan
eye,Catalan
mouth,Catalan
cat,Catalan
yogurt,Catalan
butt,Catalan
ground,Catalan
potato,Catalan
train,Catalan
airplane,Catalan
cow,Catalan
horse,Catalan
moon,Catalan
finger,Catalan
doll,Catalan
fish (food),Catalan
book,Catalan
balloon,Catalan
keys,Catalan
snail,Catalan
bicycle,Catalan
apple,Catalan
flower,Catalan
ear,Catalan
pacifier,Catalan
chair,Catalan
milk,Catalan
elephant,Catalan
spoon,Catalan
chocolate,Catalan
tooth,Catalan
bed,Catalan
juice,Catalan
light,Catalan
banana,Catalan
hair,Catalan
truck,Catalan
paper,Catalan
soup,Catalan
hen,Catalan
glass,Catalan
lion,Catalan
leg,Catalan
sock,Catalan
plate,Catalan
shovel,Catalan
door,Catalan
pants,Catalan
bunny,Catalan
phone,Catalan
cheese,Catalan
turtle,Catalan
boat,Catalan
diaper,Catalan
pear,Catalan
fork,Catalan
arm,Catalan
table,Catalan
meat,Catalan
star,Catalan
tree,Catalan
bib,Catalan
ham,Catalan
rice,Catalan
pajamas,Catalan
pig,Catalan
slide (object),Catalan
pillow,Catalan
duck,Catalan
bird,Catalan
sofa,Catalan
tv,Catalan
soap,Catalan
bus,Catalan
stone,Catalan
kitchen,Catalan
leaf,Catalan
macaroni,Catalan
monkey,Catalan
tongue,Catalan
sky,Catalan
watch (object),Catalan
bathtub,Catalan
fly (animal),Catalan
ladder,Catalan
worm,Catalan
sweater,Catalan
pencil,Catalan
glasses,Catalan
bear,Catalan
orange,Catalan
cap,Catalan
butterfly,Catalan
sand,Catalan
fire,Catalan
sheep,Catalan
egg,Catalan
olive,Catalan
paint (object),Catalan
belly button,Catalan
rain,Catalan
ant,Catalan
tractor,Catalan
drum,Catalan
candy,Catalan
mouse,Catalan
giraffe,Catalan
frog,Catalan
snack,Catalan
broom,Catalan
ice cream,Catalan
tiger,Catalan
fruit,Catalan
patio,Catalan
neck,Catalan
glove,Catalan
tomato,Catalan
toy (object),Catalan
toilet,Catalan
cloud,Catalan
potty,Catalan
button,Catalan
sponge,Catalan
knife,Catalan
box,Catalan
boots,Catalan
lollipop,Catalan
croquette,Catalan
underpants,Catalan
insect,Catalan
towel,Catalan
bee,Catalan
slipper,Catalan
sausage,Catalan
strawberry,Catalan
cake,Catalan
umbrella,Catalan
ladybug,Catalan
snow,Catalan
donkey,Catalan
room,Catalan
chicken (food),Catalan
orange (food),Catalan
dolphin,Catalan
guitar,Catalan
window,Catalan
hat,Catalan
sink,Catalan
scarf,Catalan
shower,Catalan
wind,Catalan
scissors,Catalan
blanket,Catalan
coat,Catalan
snake,Catalan
refrigerator,Catalan
spaghetti,Catalan
sugar,Catalan
mirror,Catalan
drawer,Catalan
back,Catalan
cereal,Catalan
melon,Catalan
penguin,Catalan
bucket,Catalan
coffee,Catalan
elevator,Catalan
noodles,Catalan
trumpet,Catalan
clothing,Catalan
brush (object),Catalan
shirt,Catalan
puree,Catalan
river,Catalan
carrot,Catalan
wardrobe,Catalan
grapes,Catalan
croissant,Catalan
sandwich,Catalan
dining room,Catalan
spider,Catalan
salt,Catalan
animal,Catalan
high chair,Catalan
doorbell,Catalan
washing machine,Catalan
crane,Catalan
penis,Catalan
swimsuit,Catalan
garbage,Catalan
plant,Catalan
ambulance,Catalan
battery,Catalan
lemon,Catalan
grass,Catalan
knee,Catalan
lip,Catalan
watering can,Catalan
bathroom,Catalan
swing (object),Catalan
hamburger,Catalan
hippopotamus,Catalan
puzzle,Catalan
cup,Catalan
peas,Catalan
shampoo,Catalan
helicopter,Catalan
garden,Catalan
bridge,Catalan
beard,Catalan
zebra,Catalan
watermelon,Catalan
bull,Catalan
skirt,Catalan
lettuce,Catalan
bank,Catalan
pasta,Catalan
basket,Catalan
belt,Catalan
vagina,Catalan
skate (object),Catalan
radio,Catalan
sheet,Catalan
cart,Catalan
balcony,Catalan
medicine,Catalan
camel,Catalan
faucet,Catalan
onion,Catalan
cheek,Catalan
marker,Catalan
kiwi,Catalan
card,Catalan
elbow,Catalan
tracksuit,Catalan
dinosaur,Catalan
dessert,Catalan
garage,Catalan
toast,Catalan
beans,Catalan
stool,Catalan
sidewalk,Catalan
pot,Catalan
hose,Catalan
hammer,Catalan
vacuum,Catalan
pan,Catalan
terrace,Catalan
tights,Catalan
baby food,Catalan
fireplace,Catalan
stove,Catalan
carpet,Catalan
firewood,Catalan
flag,Catalan
cd,Catalan
salad,Catalan
lizard,Catalan
popcorn,Catalan
cot,Catalan
microwave,Catalan
screwdriver,Catalan
bidet,Catalan
plug,Catalan
lighter,Catalan
flower pot,Catalan
shoe,Japanese
banana,Japanese
bread,Japanese
hand,Japanese
tea,Japanese
eye,Japanese
leg,Japanese
bus,Japanese
milk,Japanese
dog,Japanese
ball,Japanese
rain,Japanese
elephant,Japanese
juice,Japanese
butterfly,Japanese
car,Japanese
ear,Japanese
apple,Japanese
cat,Japanese
train,Japanese
leaf,Japanese
nose,Japanese
sock,Japanese
hat,Japanese
head,Japanese
strawberry,Japanese
rice,Japanese
chair,Japanese
mouth,Japanese
breast,Japanese
buttocks,Japanese
diaper,Japanese
tummy,Japanese
carrot,Japanese
grapes,Japanese
panda,Japanese
tomato,Japanese
fish (animal),Japanese
flower,Japanese
rabbit,Japanese
bath,Japanese
umbrella,Japanese
orange (food),Japanese
cup,Japanese
airplane,Japanese
bear,Japanese
spoon,Japanese
ant,Japanese
frog,Japanese
giraffe,Japanese
ice cream,Japanese
fish (food),Japanese
noodles,Japanese
crab,Japanese
water (beverage),Japanese
pig,Japanese
lion,Japanese
cheese,Japanese
tooth,Japanese
book,Japanese
pants,Japanese
penguin,Japanese
turtle,Japanese
egg,Japanese
sweets,Japanese
peach,Japanese
bird,Japanese
firetruck,Japanese
balloon,Japanese
toilet,Japanese
jelly,Japanese
fork,Japanese
monkey,Japanese
belly button,Japanese
stone,Japanese
yogurt,Japanese
watermelon,Japanese
penis,Japanese
cake,Japanese
tv,Japanese
hair,Japanese
horse,Japanese
glasses,Japanese
face,Japanese
shorts,Japanese
tissue,Japanese
sweet potato,Japanese
police car,Japanese
truck,Japanese
moon,Japanese
bug,Japanese
slide (object),Japanese
cheek,Japanese
dish,Japanese
soup,Japanese
star,Japanese
pumpkin,Japanese
hamburger,Japanese
ship,Japanese
cucumber,Japanese
meat,Japanese
toothbrush,Japanese
bicycle,Japanese
toy (object),Japanese
cow,Japanese
stairs,Japanese
telephone,Japanese
key,Japanese
shrimp,Japanese
donut,Japanese
nail (finger),Japanese
tofu,Japanese
tree,Japanese
chopstick,Japanese
towel,Japanese
motorcycle,Japanese
gorilla,Japanese
swing (object),Japanese
mouse,Japanese
corn,Japanese
bubbles,Japanese
crocodile,Japanese
medicine,Japanese
snake,Japanese
pigeon,Japanese
pen,Japanese
beans,Japanese
bag,Japanese
blocks,Japanese
koala,Japanese
cracker,Japanese
melon,Japanese
crow,Japanese
door,Japanese
pajamas,Japanese
hippopotamus,Japanese
clock,Japanese
radish,Japanese
bee,Japanese
cookie,Japanese
finger,Japanese
pudding,Japanese
crayon,Japanese
chick,Japanese
pool,Japanese
scissors,Japanese
ice,Japanese
helicopter,Japanese
light,Japanese
squirrel,Japanese
cloud,Japanese
trash can,Japanese
shower,Japanese
paper,Japanese
tiger,Japanese
button,Japanese
fox,Japanese
sun,Japanese
duck,Japanese
whale,Japanese
vegetable,Japanese
ham,Japanese
eggplant,Japanese
sheep,Japanese
zebra,Japanese
puzzle,Japanese
drum,Japanese
table,Japanese
snow,Japanese
spaghetti,Japanese
straw,Japanese
tail,Japanese
slipper,Japanese
refrigerator,Japanese
wind,Japanese
money,Japanese
pillow,Japanese
pancake,Japanese
pencil,Japanese
sandbox,Japanese
sky,Japanese
back,Japanese
forehead,Japanese
pear,Japanese
boots,Japanese
candy,Japanese
chocolate,Japanese
neck,Japanese
doll,Japanese
shoulder,Japanese
coffee,Japanese
piano,Japanese
grass,Japanese
curtain,Japanese
vacuum cleaner,Japanese
picture,Japanese
chicken,Japanese
window,Japanese
shirt,Japanese
camera,Japanese
sandwich,Japanese
chips,Japanese
apron,Japanese
ribbon,Japanese
animal,Japanese
spinach,Japanese
clothes,Japanese
shampoo,Japanese
soap,Japanese
knife,Japanese
bed,Japanese
tongue,Japanese
river,Japanese
box,Japanese
eyebrow,Japanese
fan,Japanese
room,Japanese
gloves,Japanese
clay,Japanese
tape,Japanese
chin,Japanese
shovel,Japanese
snowman,Japanese
jam,Japanese
persimmon,Japanese
battery,Japanese
wolf,Japanese
present,Japanese
road,Japanese
comb (object),Japanese
bucket,Japanese
pan,Japanese
hair dryer,Japanese
tricycle,Japanese
skirt,Japanese
blanket,Japanese
wallet,Japanese
glue (object),Japanese
basket,Japanese
game,Japanese
handkerchief,Japanese
kitchen,Japanese
butter,Japanese
soy sauce,Japanese
bowl,Japanese
microwave,Japanese
garden,Japanese
parking lot,Japanese
microphone,Japanese
roof,Japanese
air conditioner,Japanese
zipper,Japanese
jacket,Japanese
branch,Japanese
broom,Japanese
ladder,Japanese
sugar,Japanese
flag,Japanese
can,Japanese
scarf,Japanese
belt,Japanese
video,Japanese
potty,Japanese
bottle,Japanese
rag,Japanese
drawer,Japanese
closet,Japanese
hose,Japanese
iron (object),Japanese
sweater,Japanese
gum,Japanese
necklace,Japanese
tie (object),Japanese
jeans,Japanese
pot,Japanese
tights,Japanese
sneaker,Japanese
watering can,Japanese
nail (object),Japanese
bat,Japanese
stove,Japanese
coat,Japanese
water (beverage),Turkish
ball,Turkish
doll,Turkish
cat,Turkish
bird,Turkish
milk,Turkish
tea,Turkish
car,Turkish
shoe,Turkish
hand,Turkish
balloon,Turkish
dog,Turkish
foot,Turkish
bread,Turkish
nose,Turkish
horse,Turkish
hair,Turkish
eye,Turkish
diaper,Turkish
apple,Turkish
tooth,Turkish
glasses,Turkish
pen/pencil,Turkish
banana,Turkish
flower,Turkish
mouth,Turkish
butt,Turkish
candy,Turkish
door,Turkish
fish (animal),Turkish
head,Turkish
telephone,Turkish
toy (object),Turkish
ear,Turkish
hat,Turkish
sock,Turkish
soup,Turkish
meat,Turkish
fish (food),Turkish
tongue,Turkish
chocolate,Turkish
cake,Turkish
hair clip,Turkish
spoon,Turkish
rice,Turkish
egg,Turkish
gum,Turkish
bear,Turkish
fork,Turkish
purse,Turkish
clock,Turkish
tv,Turkish
book,Turkish
bug,Turkish
pillow,Turkish
yogurt,Turkish
airplane,Turkish
arm,Turkish
soda,Turkish
tummy,Turkish
plate,Turkish
pasta,Turkish
cow,Turkish
leg,Turkish
table,Turkish
tree,Turkish
finger,Turkish
slipper,Turkish
key,Turkish
bathroom,Turkish
trash,Turkish
rock (object),Turkish
food,Turkish
bed,Turkish
potato,Turkish
moon,Turkish
knife,Turkish
cheese,Turkish
lamp,Turkish
swing (object),Turkish
comb (object),Turkish
cracker,Turkish
bottle,Turkish
lamb,Turkish
remote control,Turkish
mirror,Turkish
chicken (animal),Turkish
crayon,Turkish
olive,Turkish
cheek,Turkish
rain,Turkish
donkey,Turkish
yogurt drink,Turkish
ice cream,Turkish
bicycle,Turkish
watermelon,Turkish
tomato,Turkish
napkin,Turkish
honey,Turkish
notebook,Turkish
fly (animal),Turkish
pretzel,Turkish
soap,Turkish
grapes,Turkish
face,Turkish
medicine,Turkish
potty,Turkish
chips,Turkish
cupboard,Turkish
window,Turkish
whistle (object),Turkish
dress (object),Turkish
fingernail,Turkish
armchair,Turkish
strawberry,Turkish
meatball,Turkish
pants,Turkish
paper,Turkish
pear,Turkish
kitchen,Turkish
radiator,Turkish
picture,Turkish
iron (object),Turkish
sun,Turkish
bunny,Turkish
bee,Turkish
monkey,Turkish
pacifier,Turkish
chin,Turkish
truck,Turkish
bus,Turkish
corn,Turkish
salt,Turkish
cucumber,Turkish
room,Turkish
towel,Turkish
porch,Turkish
pastry,Turkish
pocket,Turkish
tissue,Turkish
vacuum,Turkish
chair,Turkish
garden,Turkish
sand,Turkish
fire,Turkish
orange (food),Turkish
road,Turkish
train,Turkish
snow,Turkish
stairs,Turkish
fruit,Turkish
underpants,Turkish
curtain,Turkish
sheep,Turkish
skirt,Turkish
bell,Turkish
sweater,Turkish
flag,Turkish
lemon,Turkish
duck,Turkish
leaf,Turkish
elephant,Turkish
bucket,Turkish
earring,Turkish
blanket,Turkish
refrigerator,Turkish
wall,Turkish
ant,Turkish
rooster,Turkish
cherry,Turkish
pajamas,Turkish
animal,Turkish
knee,Turkish
soil,Turkish
computer,Turkish
throat,Turkish
mouse,Turkish
drum (object),Turkish
shorts,Turkish
story,Turkish
lion,Turkish
neck,Turkish
sausage,Turkish
street,Turkish
oven,Turkish
grass,Turkish
shovel,Turkish
nut,Turkish
jacket,Turkish
tangerine,Turkish
glove,Turkish
living room,Turkish
dust,Turkish
jam,Turkish
umbrella,Turkish
mustache,Turkish
cloud,Turkish
wheel,Turkish
eyelash,Turkish
pomegranate,Turkish
coffee,Turkish
toast,Turkish
coffee table,Turkish
mud,Turkish
kite,Turkish
boat,Turkish
cotton,Turkish
belt,Turkish
stove,Turkish
t-shirt,Turkish
onion,Turkish
teapot,Turkish
goat,Turkish
smoke,Turkish
slide (object),Turkish
photo,Turkish
apricot,Turkish
beans,Turkish
bib,Turkish
wood,Turkish
bracelet,Turkish
cookie,Turkish
bridge,Turkish
frog,Turkish
blocks,Turkish
headband,Turkish
ketchup,Turkish
salami,Turkish
robot,Turkish
yard,Turkish
spider,Turkish
accident,Turkish
bandaid,Turkish
radio,Turkish
boots,Turkish
camel,Turkish
mountain,Turkish
motorcycle,Turkish
puzzle,Turkish
spinach,Turkish
chickpea,Turkish
helicopter,Turkish
heart,Turkish
stick,Turkish
wolf,Turkish
pizza,Turkish
crow,Turkish
body,Turkish
crocodile,Turkish
ambulance,Turkish
tracksuit,Turkish
shower,Turkish
parrot,Turkish
tractor,Turkish
stork,Turkish
hammer,Turkish
gun,Turkish
firetruck,Turkish
tights,Turkish
squirrel,Turkish
tiger,Turkish
puppet,Turkish
giraffe,Turkish
earth,Turkish
lake,Turkish
deer,Turkish
kayak,Turkish
traffic,Turkish
garage,Turkish
pig,Turkish
coat,Turkish
eagle,Turkish
owl,Turkish
pudding,Turkish
blouse,Turkish
zebra,Turkish
tarhana,Turkish
carpet,Turkish
pine cone,Turkish
sailboat,Turkish
water (beverage),Spanish (Mexican)
bread,Spanish (Mexican)
milk,Spanish (Mexican)
shoe,Spanish (Mexican)
balloon,Spanish (Mexican)
ball,Spanish (Mexican)
dog,Spanish (Mexican)
hand,Spanish (Mexican)
car,Spanish (Mexican)
soup,Spanish (Mexican)
potato,Spanish (Mexican)
mouth,Spanish (Mexican)
cat,Spanish (Mexican)
cookie,Spanish (Mexican)
eye,Spanish (Mexican)
diaper,Spanish (Mexican)
juice,Spanish (Mexican)
egg,Spanish (Mexican)
chair,Spanish (Mexican)
bed,Spanish (Mexican)
horse,Spanish (Mexican)
hair,Spanish (Mexican)
head,Spanish (Mexican)
chicken (food),Spanish (Mexican)
light (object),Spanish (Mexican)
nose,Spanish (Mexican)
bottle,Spanish (Mexican)
foot,Spanish (Mexican)
candy,Spanish (Mexican)
airplane,Spanish (Mexican)
lollipop,Spanish (Mexican)
table,Spanish (Mexican)
duck,Spanish (Mexican)
soap,Spanish (Mexican)
finger,Spanish (Mexican)
trash,Spanish (Mexican)
banana,Spanish (Mexican)
tummy,Spanish (Mexican)
soda,Spanish (Mexican)
food,Spanish (Mexican)
tooth,Spanish (Mexican)
plate,Spanish (Mexican)
meat,Spanish (Mexican)
sock,Spanish (Mexican)
bathroom,Spanish (Mexican)
tv,Spanish (Mexican)
paper,Spanish (Mexican)
bear,Spanish (Mexican)
chili,Spanish (Mexican)
train,Spanish (Mexican)
cow,Spanish (Mexican)
apple,Spanish (Mexican)
pen/pencil,Spanish (Mexican)
sun,Spanish (Mexican)
tortilla,Spanish (Mexican)
chocolate,Spanish (Mexican)
moon,Spanish (Mexican)
spoon,Spanish (Mexican)
glass,Spanish (Mexican)
door,Spanish (Mexican)
brush (object),Spanish (Mexican)
money,Spanish (Mexican)
telephone,Spanish (Mexican)
face,Spanish (Mexican)
ear,Spanish (Mexican)
taco,Spanish (Mexican)
tongue,Spanish (Mexican)
bird,Spanish (Mexican)
key,Spanish (Mexican)
teddybear,Spanish (Mexican)
chick,Spanish (Mexican)
underpants,Spanish (Mexican)
orange (food),Spanish (Mexican)
rice,Spanish (Mexican)
jelly,Spanish (Mexican)
cheese,Spanish (Mexican)
motorcycle,Spanish (Mexican)
bag,Spanish (Mexican)
tree,Spanish (Mexican)
doll,Spanish (Mexican)
pants,Spanish (Mexican)
salt,Spanish (Mexican)
gum,Spanish (Mexican)
toy (object),Spanish (Mexican)
cake,Spanish (Mexican)
spider,Spanish (Mexican)
ham,Spanish (Mexican)
breast,Spanish (Mexican)
flower,Spanish (Mexican)
stick,Spanish (Mexican)
beans,Spanish (Mexican)
photo,Spanish (Mexican)
grapes,Spanish (Mexican)
comb (object),Spanish (Mexican)
purse,Spanish (Mexican)
broom,Spanish (Mexican)
fly (animal),Spanish (Mexican)
crib,Spanish (Mexican)
clothes,Spanish (Mexican)
cup,Spanish (Mexican)
shampoo,Spanish (Mexican)
toothbrush,Spanish (Mexican)
window,Spanish (Mexican)
hen,Spanish (Mexican)
hat,Spanish (Mexican)
box,Spanish (Mexican)
pillow,Spanish (Mexican)
sugar,Spanish (Mexican)
bunny,Spanish (Mexican)
bicycle,Spanish (Mexican)
arm,Spanish (Mexican)
sweater,Spanish (Mexican)
elephant,Spanish (Mexican)
medicine,Spanish (Mexican)
yogurt,Spanish (Mexican)
button,Spanish (Mexican)
pacifier,Spanish (Mexican)
coffee,Spanish (Mexican)
donkey,Spanish (Mexican)
hot dog,Spanish (Mexican)
kitchen,Spanish (Mexican)
glasses,Spanish (Mexican)
belly button,Spanish (Mexican)
book,Spanish (Mexican)
bathtub,Spanish (Mexican)
rain,Spanish (Mexican)
ant,Spanish (Mexican)
mouse,Spanish (Mexican)
soil,Spanish (Mexican)
blanket,Spanish (Mexican)
leg,Spanish (Mexican)
rock (object),Spanish (Mexican)
sky,Spanish (Mexican)
room,Spanish (Mexican)
monkey,Spanish (Mexican)
lion,Spanish (Mexican)
knife,Spanish (Mexican)
colors,Spanish (Mexican)
bib,Spanish (Mexican)
towel,Spanish (Mexican)
butt,Spanish (Mexican)
watch (object),Spanish (Mexican)
chips,Spanish (Mexican)
ice cream,Spanish (Mexican)
animal,Spanish (Mexican)
shirt,Spanish (Mexican)
tray,Spanish (Mexican)
star,Spanish (Mexican)
cheek,Spanish (Mexican)
fish (animal),Spanish (Mexican)
napkin,Spanish (Mexican)
stairs,Spanish (Mexican)
mirror,Spanish (Mexican)
corn,Spanish (Mexican)
slipper,Spanish (Mexican)
melon,Spanish (Mexican)
dress (object),Spanish (Mexican)
radio,Spanish (Mexican)
swing (object),Spanish (Mexican)
earring,Spanish (Mexican)
boots,Spanish (Mexican)
truck,Spanish (Mexican)
frog,Spanish (Mexican)
wind,Spanish (Mexican)
pen,Spanish (Mexican)
grass,Spanish (Mexican)
pajamas,Spanish (Mexican)
strawberry,Spanish (Mexican)
living room,Spanish (Mexican)
cloud,Spanish (Mexican)
scissors,Spanish (Mexican)
butterfly,Spanish (Mexican)
couch,Spanish (Mexican)
leaf,Spanish (Mexican)
toothpaste,Spanish (Mexican)
tea,Spanish (Mexican)
patio,Spanish (Mexican)
plant,Spanish (Mexican)
boat,Spanish (Mexican)
drawer,Spanish (Mexican)
knee,Spanish (Mexican)
fork,Spanish (Mexican)
ice,Spanish (Mexican)
popcorn,Spanish (Mexican)
tricycle,Spanish (Mexican)
bench,Spanish (Mexican)
stove,Spanish (Mexican)
cloth,Spanish (Mexican)
turtle,Spanish (Mexican)
refrigerator,Spanish (Mexican)
fish (food),Spanish (Mexican)
potty,Spanish (Mexican)
tuna,Spanish (Mexican)
lip,Spanish (Mexican)
pig,Spanish (Mexican)
penis,Spanish (Mexican)
wolf,Spanish (Mexican)
pot,Spanish (Mexican)
atole,Spanish (Mexican)
matches,Spanish (Mexican)
carrot,Spanish (Mexican)
shorts,Spanish (Mexican)
peanut,Spanish (Mexican)
mosquito,Spanish (Mexican)
lamb,Spanish (Mexican)
iron (object),Spanish (Mexican)
quesadilla,Spanish (Mexican)
watermelon,Spanish (Mexican)
painting,Spanish (Mexican)
slide (object),Spanish (Mexican)
seal (animal),Spanish (Mexican)
stroller,Spanish (Mexican)
t-shirt,Spanish (Mexican)
tape (object),Spanish (Mexican)
raisin,Spanish (Mexican)
giraffe,Spanish (Mexican)
candle,Spanish (Mexican)
crayon,Spanish (Mexican)
roof,Spanish (Mexican)
drum (object),Spanish (Mexican)
shower,Spanish (Mexican)
glove,Spanish (Mexican)
bee,Spanish (Mexican)
skirt,Spanish (Mexican)
flower pot,Spanish (Mexican)
flag,Spanish (Mexican)
tiger,Spanish (Mexican)
washing machine,Spanish (Mexican)
mustache,Spanish (Mexican)
camera,Spanish (Mexican)
bubbles,Spanish (Mexican)
sandwich,Spanish (Mexican)
pumpkin,Spanish (Mexican)
lamp,Spanish (Mexican)
pool,Spanish (Mexican)
shovel,Spanish (Mexican)
closet,Spanish (Mexican)
tights,Spanish (Mexican)
pasta,Spanish (Mexican)
peas,Spanish (Mexican)
peach,Spanish (Mexican)
fire,Spanish (Mexican)
beard,Spanish (Mexican)
sauce,Spanish (Mexican)
helicopter,Spanish (Mexican)
pastry,Spanish (Mexican)
tissue,Spanish (Mexican)
cigarette,Spanish (Mexican)
doorbell,Spanish (Mexican)
owl,Spanish (Mexican)
shoulder,Spanish (Mexican)
snake,Spanish (Mexican)
ox,Spanish (Mexican)
clay,Spanish (Mexican)
necklace,Spanish (Mexican)
sink,Spanish (Mexican)
bedroom,Spanish (Mexican)
hose,Spanish (Mexican)
picture,Spanish (Mexican)
snow,Spanish (Mexican)
squirrel,Spanish (Mexican)
throat,Spanish (Mexican)
hammer,Spanish (Mexican)
skate (object),Spanish (Mexican)
basket,Spanish (Mexican)
crocodile,Spanish (Mexican)
zipper,Spanish (Mexican)
cereal,Spanish (Mexican)
pancake,Spanish (Mexican)
jam,Spanish (Mexican)
newspaper,Spanish (Mexican)
lemonade,Spanish (Mexican)
rug,Spanish (Mexican)
hamburger,Spanish (Mexican)
nail (object),Spanish (Mexican)
butter,Spanish (Mexican)
coat,Spanish (Mexican)
smoothie,Spanish (Mexican)
furniture,Spanish (Mexican)
deer,Spanish (Mexican)
penguin,Spanish (Mexican)
vitamin,Spanish (Mexican)
goose,Spanish (Mexican)
firetruck,Spanish (Mexican)
grill (object),Spanish (Mexican)
hippopotamus,Spanish (Mexican)
vagina,Spanish (Mexican)
zebra,Spanish (Mexican)
bookshelf,Spanish (Mexican)
bat (object),Spanish (Mexican)
turkey,Spanish (Mexican)
oven,Spanish (Mexican)
drain (object),Spanish (Mexican)
dryer,Spanish (Mexican)
garage,Spanish (Mexican)
ball,Russian
juice,Russian
porridge,Russian
tea,Russian
soup,Russian
eye,Russian
nose,Russian
banana,Russian
apple,Russian
stroller,Russian
doll,Russian
hat,Russian
leg,Russian
arm,Russian
water (beverage),Russian
slipper,Russian
spoon,Russian
car,Russian
candy,Russian
wolf,Russian
balloon,Russian
bun,Russian
book,Russian
bread,Russian
soap,Russian
shovel,Russian
tights,Russian
ear,Russian
mouth,Russian
elephant,Russian
cheese,Russian
underpants,Russian
milk,Russian
butterfly,Russian
chair,Russian
fish (food),Russian
belly button,Russian
sausage,Russian
sock,Russian
cookie,Russian
tummy,Russian
mouse,Russian
door,Russian
coat,Russian
hair,Russian
snow,Russian
tooth,Russian
fork,Russian
blocks,Russian
potty,Russian
finger,Russian
head,Russian
cat,Russian
puddle,Russian
egg,Russian
stick,Russian
potato,Russian
toy (object),Russian
mud,Russian
flower,Russian
rain,Russian
light (object),Russian
pillow,Russian
watch (object),Russian
key,Russian
bus,Russian
pear,Russian
cucumber,Russian
fish (animal),Russian
bear,Russian
pen/pencil,Russian
meat,Russian
boots,Russian
fly (animal),Russian
squirrel,Russian
sun,Russian
airplane,Russian
chicken (animal),Russian
pasta,Russian
telephone,Russian
orange (food),Russian
fir,Russian
fox,Russian
bucket,Russian
blanket,Russian
hedgehog,Russian
dog,Russian
beetle,Russian
bird,Russian
frog,Russian
tree,Russian
money,Russian
monkey,Russian
shirt,Russian
sled,Russian
purse,Russian
bicycle,Russian
bed,Russian
tiger,Russian
onion,Russian
plate,Russian
butter,Russian
floor,Russian
knife,Russian
cup,Russian
pants,Russian
forehead,Russian
sand,Russian
tv,Russian
crow,Russian
horse,Russian
bathroom,Russian
lamp,Russian
carrot,Russian
sweater,Russian
trash,Russian
cow,Russian
pacifier,Russian
goose,Russian
mitten,Russian
scarf,Russian
lion,Russian
bathtub,Russian
tongue,Russian
cutlet,Russian
wind,Russian
lip,Russian
rock (object),Russian
pancake,Russian
jar,Russian
grass,Russian
crocodile,Russian
couch,Russian
tractor,Russian
paper,Russian
watermelon,Russian
chicken (food),Russian
turtle,Russian
cabbage,Russian
iron (object),Russian
teapot,Russian
paint (object),Russian
snake,Russian
table,Russian
comb (object),Russian
towel,Russian
cheek,Russian
tomato,Russian
boat,Russian
handkerchief,Russian
owl,Russian
road,Russian
sky,Russian
chocolate,Russian
duck,Russian
pigeon,Russian
train,Russian
button,Russian
rag,Russian
story,Russian
