uni_lemma,language
grapes,Mandarin (Beijing)
watermelon,Mandarin (Beijing)
strawberry,Mandarin (Beijing)
pancake,Mandarin (Beijing)
cookie,Mandarin (Beijing)
hair,Mandarin (Beijing)
eye,Mandarin (Beijing)
ear,Mandarin (Beijing)
monkey,Mandarin (Beijing)
bear,Mandarin (Beijing)
pig,Mandarin (Beijing)
elephant,Mandarin (Beijing)
bug,Mandarin (Beijing)
bottle,Mandarin (Beijing)
chopstick,Mandarin (Beijing)
pot,Mandarin (Beijing)
telephone,Mandarin (Beijing)
pillow,Mandarin (Beijing)
soap,Mandarin (Beijing)
picture,Mandarin (Beijing)
money,Mandarin (Beijing)
balloon,Mandarin (Beijing)
gun,Mandarin (Beijing)
song,Mandarin (Beijing)
clothes,Mandarin (Beijing)
pants,Mandarin (Beijing)
table,Mandarin (Beijing)
stool,Mandarin (Beijing)
tv,Mandarin (Beijing)
grass,Mandarin (Beijing)
soil,Mandarin (Beijing)
rain,Mandarin (Beijing)
wind,Mandarin (Beijing)
yogurt,Mandarin (Beijing)
kefir,Mandarin (Beijing)
tea,Mandarin (Beijing)
carrot,Mandarin (Beijing)
tomato,Mandarin (Beijing)
cucumber,Mandarin (Beijing)
bread,Mandarin (Beijing)
cake,Mandarin (Beijing)
jelly,Mandarin (Beijing)
eyebrow,Mandarin (Beijing)
tongue,Mandarin (Beijing)
mouse,Mandarin (Beijing)
deer,Mandarin (Beijing)
pigeon,Mandarin (Beijing)
plate,Mandarin (Beijing)
comb (object),Mandarin (Beijing)
toothbrush,Mandarin (Beijing)
towel,Mandarin (Beijing)
glasses,Mandarin (Beijing)
newspaper,Mandarin (Beijing)
key,Mandarin (Beijing)
bucket,Mandarin (Beijing)
glove,Mandarin (Beijing)
handkerchief,Mandarin (Beijing)
window,Mandarin (Beijing)
mirror,Mandarin (Beijing)
refrigerator,Mandarin (Beijing)
leaf,Mandarin (Beijing)
snow,Mandarin (Beijing)
stone,Mandarin (Beijing)
sun,Mandarin (Beijing)
moon,Mandarin (Beijing)
star,Mandarin (Beijing)
sky,Mandarin (Beijing)
road,Mandarin (Beijing)
umbrella,Mandarin (Beijing)
airplane,Mandarin (Beijing)
boat,Mandarin (Beijing)
juice,Mandarin (Beijing)
coke,Mandarin (Beijing)
cabbage,Mandarin (Beijing)
tofu,Mandarin (Beijing)
peanut,Mandarin (Beijing)
chocolate,Mandarin (Beijing)
french fries,Mandarin (Beijing)
flour,Mandarin (Beijing)
brain,Mandarin (Beijing)
neck,Mandarin (Beijing)
arm,Mandarin (Beijing)
panda,Mandarin (Beijing)
lion,Mandarin (Beijing)
swallow (animal),Mandarin (Beijing)
goose,Mandarin (Beijing)
turtle,Mandarin (Beijing)
frog,Mandarin (Beijing)
ant,Mandarin (Beijing)
butterfly,Mandarin (Beijing)
battery,Mandarin (Beijing)
watch (object),Mandarin (Beijing)
scissors,Mandarin (Beijing)
rope,Mandarin (Beijing)
cloth,Mandarin (Beijing)
box,Mandarin (Beijing)
brush (object),Mandarin (Beijing)
blocks,Mandarin (Beijing)
toy (object),Mandarin (Beijing)
story,Mandarin (Beijing)
scarf,Mandarin (Beijing)
sweater,Mandarin (Beijing)
sleeve,Mandarin (Beijing)
slipper,Mandarin (Beijing)
stairs,Mandarin (Beijing)
potty,Mandarin (Beijing)
chair,Mandarin (Beijing)
couch,Mandarin (Beijing)
house,Mandarin (Beijing)
bathroom,Mandarin (Beijing)
mountain,Mandarin (Beijing)
stick,Mandarin (Beijing)
sand,Mandarin (Beijing)
shovel,Mandarin (Beijing)
train,Mandarin (Beijing)
bicycle,Mandarin (Beijing)
chicken (food),Mandarin (Beijing)
potato,Mandarin (Beijing)
corn,Mandarin (Beijing)
scallion,Mandarin (Beijing)
fruit,Mandarin (Beijing)
nut,Mandarin (Beijing)
popsicle,Mandarin (Beijing)
finger,Mandarin (Beijing)
belly button,Mandarin (Beijing)
wolf,Mandarin (Beijing)
giraffe,Mandarin (Beijing)
dragon,Mandarin (Beijing)
mosquito,Mandarin (Beijing)
fly (animal),Mandarin (Beijing)
snake,Mandarin (Beijing)
fan,Mandarin (Beijing)
camera,Mandarin (Beijing)
piano,Mandarin (Beijing)
tissue,Mandarin (Beijing)
broom,Mandarin (Beijing)
rag,Mandarin (Beijing)
trash,Mandarin (Beijing)
thing,Mandarin (Beijing)
kite,Mandarin (Beijing)
wheel,Mandarin (Beijing)
vest,Mandarin (Beijing)
zipper,Mandarin (Beijing)
washing machine,Mandarin (Beijing)
closet,Mandarin (Beijing)
drawer,Mandarin (Beijing)
bathtub,Mandarin (Beijing)
kitchen,Mandarin (Beijing)
slide (object),Mandarin (Beijing)
motorcycle,Mandarin (Beijing)
liver (food),Mandarin (Beijing)
sprouts,Mandarin (Beijing)
spinach,Mandarin (Beijing)
mushroom,Mandarin (Beijing)
ice cream,Mandarin (Beijing)
pepper,Mandarin (Beijing)
salt,Mandarin (Beijing)
vinegar,Mandarin (Beijing)
cheek,Mandarin (Beijing)
thumb,Mandarin (Beijing)
zebra,Mandarin (Beijing)
camel,Mandarin (Beijing)
animal,Mandarin (Beijing)
penguin,Mandarin (Beijing)
peacock,Mandarin (Beijing)
dragonfly,Mandarin (Beijing)
purse,Mandarin (Beijing)
basket,Mandarin (Beijing)
hammer,Mandarin (Beijing)
nail (object),Mandarin (Beijing)
wood,Mandarin (Beijing)
bell,Mandarin (Beijing)
pencil,Mandarin (Beijing)
game,Mandarin (Beijing)
bib,Mandarin (Beijing)
jacket,Mandarin (Beijing)
skirt,Mandarin (Beijing)
belt,Mandarin (Beijing)
faucet,Mandarin (Beijing)
air conditioner,Mandarin (Beijing)
balcony,Mandarin (Beijing)
elevator,Mandarin (Beijing)
traffic light,Mandarin (Beijing)
car,Mandarin (Beijing)
bus,Mandarin (Beijing)
truck,Mandarin (Beijing)
taxi,Mandarin (Beijing)
tricycle,Mandarin (Beijing)
soda,Mandarin (Beijing)
drink (beverage),Mandarin (Beijing)
donut,Mandarin (Beijing)
sauce,Mandarin (Beijing)
lip,Mandarin (Beijing)
shoulder,Mandarin (Beijing)
gorilla,Mandarin (Beijing)
radio,Mandarin (Beijing)
voice recorder,Mandarin (Beijing)
dustpan,Mandarin (Beijing)
board game,Mandarin (Beijing)
necklace,Mandarin (Beijing)
coat,Mandarin (Beijing)
shirt,Mandarin (Beijing)
underpants,Mandarin (Beijing)
sandal,Mandarin (Beijing)
stove,Mandarin (Beijing)
puddle,Mandarin (Beijing)
gas,Mandarin (Beijing)
branch,Mandarin (Beijing)
ladder,Mandarin (Beijing)
swing (object),Mandarin (Beijing)
trampoline,Mandarin (Beijing)
cloud,Mandarin (Beijing)
snowman,Mandarin (Beijing)
crane,Mandarin (Beijing)
chin,Mandarin (Beijing)
hedgehog,Mandarin (Beijing)
eagle,Mandarin (Beijing)
owl,Mandarin (Beijing)
alligator,Mandarin (Beijing)
dinosaur,Mandarin (Beijing)
roof,Mandarin (Beijing)
jeep,Mandarin (Beijing)
book,Korean
eye,Korean
foot,Korean
dog,Korean
shoe,Korean
sock,Korean
strawberry,Korean
banana,Korean
ear,Korean
hand,Korean
mouth,Korean
flower,Korean
hat,Korean
pants,Korean
meat,Korean
tangerine,Korean
apple,Korean
candy,Korean
head,Korean
tummy,Korean
balloon,Korean
cat,Korean
bear,Korean
pig,Korean
bird,Korean
duck,Korean
bunny,Korean
bag,Korean
diaper,Korean
door,Korean
blanket,Korean
dried seaweed,Korean
ice cream,Korean
juice,Korean
grapes,Korean
belly button,Korean
medicine,Korean
cup,Korean
train,Korean
bus,Korean
airplane,Korean
doll,Korean
butterfly,Korean
horse,Korean
fish (animal),Korean
lion,Korean
cow,Korean
elephant,Korean
tiger,Korean
dress (object),Korean
pillow,Korean
chair,Korean
cheese,Korean
leg,Korean
tooth,Korean
telephone,Korean
toothbrush,Korean
tree,Korean
boat,Korean
bicycle,Korean
giraffe,Korean
crocodile,Korean
room,Korean
tv,Korean
egg,Korean
kimchi,Korean
watermelon,Korean
yogurt,Korean
face,Korean
hip,Korean
scissors,Korean
soap,Korean
towel,Korean
spoon,Korean
clock,Korean
glasses,Korean
umbrella,Korean
fork,Korean
tissue,Korean
rain,Korean
stroller,Korean
frog,Korean
chicken (animal),Korean
hippopotamus,Korean
underpants,Korean
refrigerator,Korean
bed,Korean
rice cake,Korean
beans,Korean
neck,Korean
arm,Korean
money,Korean
comb (object),Korean
toothpaste,Korean
swing (object),Korean
snow,Korean
slide (object),Korean
star,Korean
motorcycle,Korean
taxi,Korean
blocks,Korean
pencil,Korean
toy (object),Korean
paper,Korean
crayon,Korean
ant,Korean
turtle,Korean
snake,Korean
chick,Korean
sheep,Korean
monkey,Korean
button,Korean
glove,Korean
stairs,Korean
piano,Korean
bathroom,Korean
sweet potato,Korean
soup,Korean
gum,Korean
carrot,Korean
orange (food),Korean
chocolate,Korean
coffee,Korean
cake,Korean
tomato,Korean
penis,Korean
finger,Korean
trash can,Korean
chopstick,Korean
knife,Korean
moon,Korean
fire,Korean
sun,Korean
firetruck,Korean
dinosaur,Korean
mouse,Korean
penguin,Korean
necklace,Korean
jacket,Korean
pocket,Korean
window,Korean
potato,Korean
fruit,Korean
noodles,Korean
corn,Korean
pizza,Korean
butt,Korean
hair,Korean
bowl,Korean
picture,Korean
trash,Korean
key,Korean
vacuum,Korean
snowman,Korean
seesaw,Korean
sky,Korean
truck,Korean
present,Korean
glue (object),Korean
squirrel,Korean
bug,Korean
fox,Korean
dress shoe,Korean
sneaker,Korean
bathtub,Korean
washing machine,Korean
couch,Korean
persimmon,Korean
pasta,Korean
radish,Korean
fish (food),Korean
ice,Korean
back (body part),Korean
knee,Korean
shoulder,Korean
blood,Korean
rag,Korean
wallet,Korean
camera,Korean
stone,Korean
wind,Korean
helicopter,Korean
robot,Korean
bubbles,Korean
gun,Korean
bee,Korean
pigeon,Korean
deer,Korean
goat,Korean
sparrow,Korean
scarf,Korean
skirt,Korean
kitchen,Korean
drawer,Korean
nut,Korean
rice,Korean
coke,Korean
pumpkin,Korean
fingernail,Korean
lip,Korean
plate,Korean
cloud,Korean
sand,Korean
animal,Korean
owl,Korean
closet,Korean
chicken (food),Korean
peanut,Korean
cabbage,Korean
peach,Korean
hamburger,Korean
body,Korean
chin,Korean
hanger,Korean
grass,Korean
soil,Korean
calf,Korean
waist,Korean
tongue,Korean
bottle,Korean
box,Korean
street,Korean
pajamas,Korean
glass,Korean
soda,Korean
sugar,Korean
salt,Korean
cheek,Korean
radio,Korean
broom,Korean
ground,Korean
ladder,Korean
food,Korean
hammer,Korean
sled,Korean
microwave,Korean
donut,Korean
melon,Korean
hot dog,Korean
tray,Korean
coat,Korean
belt,Korean
spaghetti,Korean
boulder,Korean
roof,Korean
pancake,Korean
ankle,Korean
nail (object),Korean
ball,English (Australian)
dog,English (Australian)
car,English (Australian)
banana,English (Australian)
shoe,English (Australian)
bird,English (Australian)
duck,English (Australian)
book,English (Australian)
cat,English (Australian)
fish (animal),English (Australian)
balloon,English (Australian)
apple,English (Australian)
cookie,English (Australian)
cheese,English (Australian)
milk,English (Australian)
hat,English (Australian)
sock,English (Australian)
ear,English (Australian)
eye,English (Australian)
nose,English (Australian)
bathtub,English (Australian)
airplane,English (Australian)
bicycle,English (Australian)
bus,English (Australian)
truck,English (Australian)
bubbles,English (Australian)
teddybear,English (Australian)
juice,English (Australian)
bottle,English (Australian)
key,English (Australian)
spoon,English (Australian)
bed,English (Australian)
door,English (Australian)
flower,English (Australian)
star,English (Australian)
bear,English (Australian)
pig,English (Australian)
puppy,English (Australian)
cow,English (Australian)
boat,English (Australian)
train,English (Australian)
cake,English (Australian)
toast,English (Australian)
drink (beverage),English (Australian)
water (beverage),English (Australian)
diaper,English (Australian)
foot,English (Australian)
hair,English (Australian)
mouth,English (Australian)
tooth,English (Australian)
telephone,English (Australian)
cup,English (Australian)
chair,English (Australian)
tree,English (Australian)
water (not beverage),English (Australian)
bee,English (Australian)
bunny,English (Australian)
frog,English (Australian)
horse,English (Australian)
monkey,English (Australian)
bread,English (Australian)
fish (food),English (Australian)
yogurt,English (Australian)
arm,English (Australian)
butt,English (Australian)
hand,English (Australian)
head,English (Australian)
tummy,English (Australian)
toe,English (Australian)
trash,English (Australian)
light (object),English (Australian)
toothbrush,English (Australian)
clock,English (Australian)
shower,English (Australian)
tv,English (Australian)
moon,English (Australian)
rain,English (Australian)
butterfly,English (Australian)
sheep,English (Australian)
snake,English (Australian)
spider,English (Australian)
lion,English (Australian)
tiger,English (Australian)
stroller,English (Australian)
doll,English (Australian)
toy (object),English (Australian)
chicken (food),English (Australian)
chocolate,English (Australian)
grapes,English (Australian)
ice cream,English (Australian)
chips,English (Australian)
egg,English (Australian)
bib,English (Australian)
boots,English (Australian)
pants,English (Australian)
belly button,English (Australian)
finger,English (Australian)
knee,English (Australian)
leg,English (Australian)
blanket,English (Australian)
box,English (Australian)
bowl,English (Australian)
brush (object),English (Australian)
plate,English (Australian)
tissue,English (Australian)
fork,English (Australian)
towel,English (Australian)
sun,English (Australian)
swing (object),English (Australian)
elephant,English (Australian)
giraffe,English (Australian)
kangaroo,English (Australian)
crocodile,English (Australian)
mouse,English (Australian)
turtle,English (Australian)
blocks,English (Australian)
pen,English (Australian)
story,English (Australian)
carrot,English (Australian)
lollipop,English (Australian)
orange (food),English (Australian)
sandwich,English (Australian)
strawberry,English (Australian)
sauce,English (Australian)
pasta,English (Australian)
button,English (Australian)
jacket,English (Australian)
pajamas,English (Australian)
chin,English (Australian)
face,English (Australian)
tongue,English (Australian)
bucket,English (Australian)
money,English (Australian)
soap,English (Australian)
crib,English (Australian)
pillow,English (Australian)
refrigerator,English (Australian)
stairs,English (Australian)
table,English (Australian)
grass,English (Australian)
pool,English (Australian)
sky,English (Australian)
helicopter,English (Australian)
motorcycle,English (Australian)
play dough,English (Australian)
present,English (Australian)
puzzle,English (Australian)
corn,English (Australian)
food,English (Australian)
noodles,English (Australian)
pizza,English (Australian)
potato,English (Australian)
spaghetti,English (Australian)
peas,English (Australian)
sweater,English (Australian)
shirt,English (Australian)
sunglasses,English (Australian)
breast,English (Australian)
cheek,English (Australian)
broom,English (Australian)
knife,English (Australian)
scissors,English (Australian)
paper,English (Australian)
photo,English (Australian)
computer,English (Australian)
kitchen,English (Australian)
potty,English (Australian)
window,English (Australian)
rock (object),English (Australian)
slide (object),English (Australian)
stick,English (Australian)
animal,English (Australian)
ant,English (Australian)
owl,English (Australian)
penguin,English (Australian)
koala,English (Australian)
zebra,English (Australian)
firetruck,English (Australian)
tractor,English (Australian)
butter,English (Australian)
coffee,English (Australian)
ice,English (Australian)
meat,English (Australian)
dress (object),English (Australian)
shorts,English (Australian)
slipper,English (Australian)
underpants,English (Australian)
zipper,English (Australian)
lip,English (Australian)
neck,English (Australian)
basket,English (Australian)
camera,English (Australian)
medicine,English (Australian)
picture,English (Australian)
watch (object),English (Australian)
bathroom,English (Australian)
bedroom,English (Australian)
couch,English (Australian)
high chair,English (Australian)
room,English (Australian)
cloud,English (Australian)
garden,English (Australian)
wind,English (Australian)
bug,English (Australian)
crayon,English (Australian)
game,English (Australian)
beans,English (Australian)
cereal,English (Australian)
jam,English (Australian)
pumpkin,English (Australian)
soup,English (Australian)
jeans,English (Australian)
nail (body part),English (Australian)
glass,English (Australian)
hammer,English (Australian)
purse,English (Australian)
vacuum,English (Australian)
oven,English (Australian)
sink,English (Australian)
washing machine,English (Australian)
hose,English (Australian)
sandbox,English (Australian)
donkey,English (Australian)
bat (object),English (Australian)
popcorn,English (Australian)
pastry,English (Australian)
pancake,English (Australian)
peanut butter,English (Australian)
belt,English (Australian)
necklace,English (Australian)
shoulder,English (Australian)
plant,English (Australian)
drawer,English (Australian)
garage,English (Australian)
backyard,English (Australian)
ladder,English (Australian)
lawn mower,English (Australian)
roof,English (Australian)
wall,English (Australian)
lamb,English (Australian)
glue (object),English (Australian)
hamburger,English (Australian)
mango,English (Australian)
muffin,English (Australian)
nut,English (Australian)
pineapple,English (Australian)
coat,English (Australian)
living room,English (Australian)
flag,English (Australian)
stone,English (Australian)
goose,English (Australian)
pony,English (Australian)
cockroach,English (Australian)
raisin,English (Australian)
salt,English (Australian)
pudding,English (Australian)
sandal,English (Australian)
mop (object),English (Australian)
radio,English (Australian)
tape (object),English (Australian)
comb (object),English (Australian)
shed,English (Australian)
street,English (Australian)
waves,English (Australian)
car,Cantonese
cat,Cantonese
fish (animal),Cantonese
water (beverage),Cantonese
biscuit,Cantonese
fish (food),Cantonese
shoe,Cantonese
rice,Cantonese
vegetable,Cantonese
pen,Cantonese
bird,Cantonese
cup,Cantonese
water (not beverage),Cantonese
flower,Cantonese
diaper,Cantonese
nose,Cantonese
hand,Cantonese
leg,Cantonese
butt,Cantonese
egg,Cantonese
noodles,Cantonese
orange (food),Cantonese
candy,Cantonese
book,Cantonese
light (object),Cantonese
rain,Cantonese
sock,Cantonese
clothes,Cantonese
pants,Cantonese
head,Cantonese
eye,Cantonese
mouth,Cantonese
soup,Cantonese
banana,Cantonese
apple,Cantonese
chicken (animal),Cantonese
horse,Cantonese
bus,Cantonese
spoon,Cantonese
telephone,Cantonese
blanket,Cantonese
money,Cantonese
hat,Cantonese
face,Cantonese
ear,Cantonese
door,Cantonese
tv,Cantonese
cake,Cantonese
meat,Cantonese
ice cream,Cantonese
song,Cantonese
bear,Cantonese
airplane,Cantonese
boat,Cantonese
taxi,Cantonese
watch (object),Cantonese
comb (object),Cantonese
paper,Cantonese
bag,Cantonese
key,Cantonese
tree,Cantonese
umbrella,Cantonese
hair,Cantonese
tooth,Cantonese
bed,Cantonese
chair,Cantonese
juice,Cantonese
french fries,Cantonese
shrimp,Cantonese
grapes,Cantonese
doll,Cantonese
duck,Cantonese
pig,Cantonese
bunny,Cantonese
bowl,Cantonese
pillow,Cantonese
toothbrush,Cantonese
towel,Cantonese
glasses,Cantonese
trash,Cantonese
tummy,Cantonese
room,Cantonese
window,Cantonese
table,Cantonese
fan,Cantonese
elevator,Cantonese
tea,Cantonese
coke,Cantonese
sausage,Cantonese
corn,Cantonese
melon,Cantonese
beans,Cantonese
watermelon,Cantonese
chocolate,Cantonese
turtle,Cantonese
cow,Cantonese
bug,Cantonese
mosquito,Cantonese
bicycle,Cantonese
bottle,Cantonese
chopstick,Cantonese
fork,Cantonese
knife,Cantonese
medicine,Cantonese
tissue,Cantonese
slide (object),Cantonese
street,Cantonese
finger,Cantonese
bathroom,Cantonese
mirror,Cantonese
refrigerator,Cantonese
floor,Cantonese
food,Cantonese
gun,Cantonese
toy (object),Cantonese
elephant,Cantonese
monkey,Cantonese
mouse,Cantonese
butterfly,Cantonese
train,Cantonese
plate,Cantonese
scissors,Cantonese
wind,Cantonese
sun,Cantonese
star,Cantonese
moon,Cantonese
slipper,Cantonese
kitchen,Cantonese
couch,Cantonese
stairs,Cantonese
macaroni,Cantonese
carrot,Cantonese
mushroom,Cantonese
sticker,Cantonese
lion,Cantonese
ant,Cantonese
minibus,Cantonese
pacifier,Cantonese
clock,Cantonese
toothpaste,Cantonese
box,Cantonese
grass,Cantonese
carousel,Cantonese
swing (object),Cantonese
button,Cantonese
tongue,Cantonese
neck,Cantonese
toe,Cantonese
closet,Cantonese
stroller,Cantonese
soda,Cantonese
chicken (food),Cantonese
tomato,Cantonese
tofu,Cantonese
nut,Cantonese
fruit,Cantonese
mango,Cantonese
jello,Cantonese
blocks,Cantonese
wheel,Cantonese
story,Cantonese
frog,Cantonese
snake,Cantonese
sheep,Cantonese
tiger,Cantonese
giraffe,Cantonese
cockroach,Cantonese
motorcycle,Cantonese
camera,Cantonese
battery,Cantonese
basin,Cantonese
newspaper,Cantonese
rope,Cantonese
wallet,Cantonese
broom,Cantonese
leaf,Cantonese
sky,Cantonese
sea,Cantonese
road,Cantonese
coat,Cantonese
skirt,Cantonese
zipper,Cantonese
nail (body part),Cantonese
belly button,Cantonese
computer,Cantonese
air conditioner,Cantonese
hamburger,Cantonese
crab,Cantonese
pear,Cantonese
cook,Cantonese
panda,Cantonese
bee,Cantonese
dinosaur,Cantonese
police car,Cantonese
pot,Cantonese
teapot,Cantonese
picture,Cantonese
hanger,Cantonese
bucket,Cantonese
sand,Cantonese
stone,Cantonese
cloud,Cantonese
mountain,Cantonese
sneaker,Cantonese
underpants,Cantonese
necklace,Cantonese
back (body part),Cantonese
piano,Cantonese
washing machine,Cantonese
crib,Cantonese
bun,Cantonese
chips,Cantonese
pork,Cantonese
ham,Cantonese
sauce,Cantonese
microphone,Cantonese
bell,Cantonese
present,Cantonese
animal,Cantonese
truck,Cantonese
firetruck,Cantonese
brush (object),Cantonese
soap,Cantonese
thunder,Cantonese
tunnel,Cantonese
pool,Cantonese
fountain,Cantonese
bib,Cantonese
chin,Cantonese
